Function,Min,Max
sphere,0.009413412282819857,1029.833719466969
ellipsoid,42.11820570812823,638039166.6800479
rastrigin,1.1907913828486851,1256.1147792242448
bucherastrigin,1.4466395913063872,150142.83116151812
rosenbrock,0.29087528607550106,73871967.48336829
hm,0.006504846352854833,2234.8443290738765
griewank,0.00209872782339271,1.984254399311896
ackley,0.6002649894541148,20.928617668125952
lunacek,5.396130579898017,1070.297445358784
deceptivemultimodal,0.08244027687465974,16.133390838706983
multipeak,1.013961439153497,10000.0
doublelinearslope,0.0007577680561763334,51.85477027144675
stepdoublelinearslope,0.006737946999085467,54.598150033144236
cigar,34.10538794216069,1083711565.1928716
altcigar,12.206851787760874,894599359.9180368
altellipsoid,3.7806569858305896,598679082.9902359
stepellipsoid,20.085536923187668,178482300.96318725
discus,1.8192616113932194,548370005.3276502
bentcigar,21.586884431880133,7169397756559.777
deceptiveillcond,0.15256151348081923,27.85747895489383
deceptivepath,0.11672065834189858,19.633982207210234
